Section,Issue,Unilateral Preferred Position,Mutual Preferred Position,Unilateral Fallback Position,Mutual Fallback Position,Preferred Language
General Terms and Definitions,Duration of NDA,3 years,2 years,2 years,3 years,"This Agreement shall commence on the Effective Date and end on the date immediately preceding the [X] anniversary of the Effective Date, provided, however, that the Company may terminate this Agreement at any time by providing written notice to Recipient.
"
General Terms and Definitions,Terms that survive NDA,Retained Confidential Information and Trade Secrets,,Retained Confidential Information,,"Notwithstanding the foregoing, even after the return or destruction of Confidential Information by Recipient and its Representatives the terms and conditions of this Agreement shall remain in effect (i) with respect to any Confidential Information that constitutes a trade secret, for so long as such Confidential Information is considered a trade secret under applicable law or until one of the exceptions in [section referrencing carve-outs] applies to such information; and (ii) with respect to all other Confidential Information, for a period of [X years] following expiration or earlier termination of this Agreement.
"
General Terms and Definitions,Duration of the terms that survive NDA,3 years,2 years,2 years,3 years,"Notwithstanding the foregoing, even after the return or destruction of Confidential Information by Recipient and its Representatives the terms and conditions of this Agreement shall remain in effect (i) with respect to any Confidential Information that constitutes a trade secret, for so long as such Confidential Information is considered a trade secret under applicable law or until one of the exceptions in [section referrencing carve-outs] applies to such information; and (ii) with respect to all other Confidential Information, for a period of [X years] following expiration or earlier termination of this Agreement.
"
General Terms and Definitions,Definition of Representatives,"Affiliates or its or its Affiliates’ officers, employees, agents, advisors, and representatives",,,,"The Confidential Information may be disclosed by Recipient only within Recipient’s own organization and to its Representatives, but only to the extent reasonably required to accomplish the Purpose set forth above or to exercise Recipient’s rights under the Agreement, and only to such Representatives who are bound by confidentiality obligations which cover the Confidential Information and are no less restrictive than the terms and conditions of this Agreement. Notwithstanding the foregoing, Recipient shall instruct each of its Representatives having access to the Confidential Information to abide by this Agreement and shall use its best efforts to ensure compliance with the terms of this Agreement by such Representatives. 
"
General Terms and Definitions,Definition of Affiliates,See preferred language,,,,"The term “Affiliate” as used in this Agreement means with respect to a person, entity, or party (a “Person”), in each case as of any given time, any Person controlled by such Person, any Person that controls such Person, or any Person under common control with such Person. 
"
General Terms and Definitions,"Definition of ""control""",See preferred language,,,,"For purposes of this definition, “control” and any variations thereof mean the power, whether acting alone or with one or more of a Person’s Affiliates, to, directly or indirectly, (i) vote or exercise a controlling influence with respect to more than half of the capital stock or other ownership interest giving holders the right to do one or both of the following: (a) elect the board of directors or other governing body of another Person, or (b) receive the net assets of such other Person available for distribution to holders of all stock or other ownership interests upon liquidation or dissolution of such other Person; or (ii) direct or cause the direction of the management and policies of such other Person, whether by contract or otherwise.
"
General Terms and Definitions,Representative's adherence to the Agreement,"Recipient must instruct Representatives to abide by the confidentiality and use provisions of the Agreement
",,See language in red,,Recipient shall instruct each of its Representatives having access to the Confidential Information to abide by this Agreement and shall use its reasonable best efforts to ensure compliance with the terms of this Agreement by such Representatives. Recipient shall be liable for any breach of or failure to comply with this Agreement by any of its Representatives
General Terms and Definitions,Definition of Confidential Information,See preferred language,,,,"“Confidential Information” means all information provided by the Company, directly or through its Affiliates or its or its Affiliates’ officers, employees, agents, advisors, and representatives (collectively, “Representatives”), to Recipient or any of its Representatives on, before, and after the Effective Date, in any form or media, whether oral, written, electronic, tangible, or intangible and whether or not marked, designated, or otherwise identified as “confidential,” including (i) the Company’s unpatented inventions, ideas, methods and discoveries, formulas, trade secrets, know-how, unpublished patent applications and other confidential intellectual property (whether or not patentable); (ii) information concerning the Company’s and its Affiliates’, and their customers’, suppliers’, and other third parties’ past, present, and future business affairs including finances, customer information, supplier information, products, services, organizational structure and internal practices, research and development, scientific and technical information, forecasts, sales and other financial results, records and budgets, and business, marketing, development, sales and other commercial strategies; (iii) any third-party confidential information included with, or incorporated in, any information provided; (iv) designs, specifications, plans, documentation, samples, components, code, protocols, processes, procedures, data, manuals, correspondence, images, icons, schematics, drawings, and other depictions, in whole or in part, of or relating to any of the foregoing; and (v) all notes, analyses, compilations, reports, forecasts, studies, samples, data, statistics, summaries, interpretations, and other materials prepared by or for Recipient or its Representatives that contain, are based on, or otherwise reflect or are derived from, in whole or in part, any of the foregoing (the “Notes”). "
General Terms and Definitions,Other Confidential Information,See preferred language,,,,"Recipient also agrees to treat as Confidential Information the fact that investigations, discussions, and negotiations regarding the Purpose have been, are being, or may be held between the Parties and the substance of any such investigations, discussions, and negotiations.
"
General Terms and Definitions,Carve-outs from Confidential Information,Standard 4 carve-outs -- see preferred language,,,,"The term “Confidential Information” as used in this Agreement shall not include information that at the time exception is taken by Recipient or any of its Representatives (in each case, the “Excepting Party”) (i) is generally available to and known by the public other than as a result of, directly or indirectly, any violation of this Agreement by Recipient or any of its Representatives; (ii) was known by or in the possession of the Excepting Party, as established by documentary evidence, before being disclosed by or on behalf of the Company; (iii) was provided to the Excepting Party on a non-confidential basis by a third-party, provided that such third-party is not and was not prohibited from disclosing such Confidential Information to the Excepting Party; or (iv) was independently developed by the Excepting Party, as established by documentary evidence, without reference to or use of, in whole or in part, any of the Confidential Information. 
"
General Terms and Definitions,Other carve-outs,See preferred language,,,,"Confidential Information shall not be deemed to be within the foregoing exceptions merely because it is either specific and embraced by more general information in the public domain or the Excepting Party’s possession, or a combination which can be pieced together to reconstruct the Confidential Information from multiple sources, none of which shows the whole combination, its principle of operation, and method of use.
"
Information Disclosure,Required disclosure of information,"Valid subpoena or judicial, stock exchange, or government order or requirement",,,,"Notwithstanding the restrictions on use and disclosure of Confidential Information set forth in this Agreement, Recipient or its Representatives may disclose Confidential Information in response to a valid subpoena or judicial, stock exchange, or government order or requirement (a “Legal Order”)"
Information Disclosure,Company's assistance for required disclosure of information,,,,,"To the extent permitted by law, Recipient shall promptly, and before making any disclosure, notify the Company so that the Company may, with Recipient’s assistance, oppose such disclosure or seek a protective order or other limitations on disclosure related to its Confidential Information. If, after providing such notice and assistance, Recipient remains subject to a Legal Order to disclose any Confidential Information, Recipient (or its Representatives or other persons to whom such Legal Order is directed) shall disclose no more than that portion of the Confidential Information which Recipient’s legal counsel advises such Legal Order specifically requires the disclosure of and, on the Company’s request, shall use commercially reasonable efforts to obtain assurances from the applicable court, agency, or other body that such Confidential Information will be afforded confidential treatment.
"
Information Disclosure,Standard of care,"At least the same degree of care as Recipient treats its own Confidential Information of like nature, but in no event with less than a reasonable degree of care",,,,"All Confidential Information shall remain the sole and exclusive property of the Company, and Recipient shall protect, safeguard, and hold in strictest confidence all such Confidential Information with at least the same degree of care as Recipient treats its own Confidential Information of like nature, but in no event with less than a reasonable degree of care."
Information Disclosure,Authorized use,For the Purpose only,,,,"Recipient shall not use the Confidential Information, or permit it to be accessed or used, for any purpose other than the Purpose or a related transaction between the Parties, or in any manner to the Company’s detriment, including to reverse engineer, disassemble, decompile, or design around the Company’s proprietary services, products, or Confidential Information or to cause or encourage any third-party to do the same; 
"
Information Disclosure,Disclosure to third party,Requires the prior express written consent of the Company,,,,Recipient shall not disclose the Confidential Information to any third-party without the prior express written consent of the Company. 
Information Disclosure,Unauthorized disclosure,Prompt notice to the company,,,,"Recipient shall promptly notify the Company of any unauthorized disclosure of Confidential Information or other breaches of this Agreement by the Recipient or its Representatives.
"
Information Disposal,How to dispose of information?,Recipient selects method – destroy or return,,,,"Recipient and its Representatives shall promptly destroy any Notes and return to the Company all of the Confidential Information that is in any tangible form and any copies that Recipient may have made. 
"
Information Disposal,Necessary to notify counterparty of disposal?,Recipient to confirm in writing,,,,"In the case of destruction, Recipient shall confirm in writing such destruction to the Company within six (6) weeks from receipt of the Company’s request. "
Information Disposal,Exceptions,Personnel of Recipient or its Representatives for the purpose of disaster recovery or IT systems failure recovery and if that retained information continues to be subject to the Agreement,See language in red,,,"The foregoing obligation of return or destruction shall not apply to electronic copies of the Confidential Information: (a) created automatically and in the ordinary course of business by Recipient or its Representatives’ data archiving or disaster recovery systems, provided that (i) only personnel of Recipient or its Representatives whose job function is primarily information technology in nature shall have access to such copies and such personnel shall only access such copies for the purpose of disaster recovery or IT systems failure recovery; and (ii) all such retained copies shall continue to be subject to the terms and conditions of this Agreement; or (b) that the Recipient's counsel has advised is subject to a litigation hold due to pending or threatened litigation.
"
Information Disposal,Disposal trigger,"Expiration or termination of this Agreement

Notice from the Company",,,,"Upon expiration or earlier termination of this Agreement, or upon notice from the Company to Recipient at any time"
Information Disposal,Ability to retain information in connection with retention policy,No,,,,[Silent]
Liabilities / Indemnification,Liability for breach by Representatives?,Yes,"Yes, unless Representative signs a joinder or agreement?",,,Recipient shall be liable for any breach of or failure to comply with this Agreement by any of its Representatives.
Liabilities / Indemnification,Indemnification,No,,,,[Silent]
Liabilities / Indemnification,Entitled to specific performance?,"Yes, the Company may seek",See language in red,,,"Recipient acknowledges and agrees that the Company may not have an adequate remedy in the event Recipient breaches or threatens to breach this Agreement because damages cannot be reasonably or adequately compensated and that the Company will suffer irreparable damage and injury in such event. Therefore, Recipient agrees that the Company shall be entitled, in addition to, and without waiving, any other available rights and remedies it may have under this Agreement or otherwise, to seek specific performance, preliminary and permanent injunctive relief, or other equitable relief as a remedy for any actual or threatened breach of this Agreement. [removed bonding requirement]"
Liabilities / Indemnification,Disclosing Party’s Liability,"Ok to aknowledge that there are no representations or warranties with respect to the accuracy or completeness of the Confidential Information, except as may be set forth in a definitive agreement.",OK to acknowledge that there are no representations or warranties with respect to the accuracy or completeness of the Confidential Information.,,,"Recipient acknowledges that, except as may be expressly set forth in a subsequent definitive written agreement between the Parties, neither the Company nor any of its Representatives makes or shall be deemed to have made, any representation or warranty, express or implied, as to the accuracy or completeness of any Confidential Information disclosed hereunder. Neither the Company nor any of its Representatives shall have any liability of any kind to Recipient or any of its Representatives relating to or resulting from the use of or reliance upon the Confidential Information or any errors therein or omissions therefrom"
Liabilities / Indemnification,No obligation to do business,Each party disclaims any obligation to consummate a transaction.,,,,"The Company and Recipient are independent contractors. No other relationship is intended to be created between the Parties, and nothing herein shall be construed so as to create any agency, partnership, joint venture, or other form of joint enterprise, employment, or fiduciary relationship between the Parties. Neither Party shall have authority to contract for, bind, or otherwise act in any way as the representative of the other Party in any manner whatsoever.
"
Liabilities / Indemnification,No obligation to disclose,The Company is under no obligation to disclose any information or to enter into any business relationship,,,,"The Parties agree that the Company shall not by virtue of this Agreement be under any obligation to disclose any information to Recipient or to enter into any other business or contractual relationship, investment, or transaction with Recipient. The Company may at any time, at its sole and absolute discretion, with or without cause, terminate discussions and negotiations with Recipient, in connection with the Purpose or otherwise.  
"
Liabilities / Indemnification,Compliance with laws,"Mutual only: 
Yes, with respect to export regulation and similar restrictions",,,,"Mutual only: Information exchanged hereunder may be subject to restrictions on the exchange imposed by the United States government. Such restrictions include the International Traffic in Arms Regulations (ITAR, 22 C.F.R. §§120-130), the Export Administration Regulations (EAR, 15 C.F.R. §§730-774), laws concerning the disclosure of classified information, and other laws, rules, and regulations restricting disclosure. Accordingly, the Parties agree to abide by all such applicable laws, rules, and regulations governing the transfer, export, or re-export of technical data, including all amendments thereto (collectively, “Export Laws”). Technical data/technology that is controlled by any of the Export Laws shall not be released to foreign nationals, including foreign national employees of United States companies, foreign companies, or other entities without first obtaining the appropriate export license or other approval from the United States government. The Receiving Party shall use reasonable efforts to ensure that the proper safeguards are in place to prevent inadvertent release of technical data/technology that is controlled by any of the Export Laws to third parties without the applicable authorization. Should an unauthorized release take place, the Receiving Party shall notify the Disclosing Party within twenty-four (24) hours of the time Receiving Party has knowledge of the release."
Miscellaneous,Anti-publicity requirement?,Recipient can't disclose,,,,"Recipient also agrees to treat as Confidential Information the fact that investigations, discussions, and negotiations regarding the Purpose have been, are being, or may be held between the Parties and the substance of any such investigations, discussions, and negotiations.
"
Miscellaneous,Legal expenses,Prevailing party entitle to recover,,,,"In the event that any Claim is instituted or commenced by either Party hereto against the other Party, the prevailing Party shall be entitled to recover, in addition to all other damages and amounts it may be entitled to receive, its reasonable attorneys’ fees and court costs from the non-prevailing Party.
"
